conn_in	conn_out	dns_in_distinct	ssh_in
42189.0	15369.0	28.0	3297.0
41392.0	15222.0	31.0	3119.0
41492.0	15260.0	33.0	2897.0
38771.0	15292.0	36.0	2987.0
38400.0	15415.0	36.0	3052.0
37868.0	15071.0	37.0	3229.0
38238.0	14761.0	38.0	3356.0
38664.0	15302.0	35.0	3399.0
39405.0	15130.0	33.0	3780.0
38404.0	15575.0	30.0	3716.0
38060.0	15255.0	27.0	3370.0
37738.0	15542.0	27.0	3261.0
37117.0	15656.0	32.0	3105.0
36332.0	15180.0	30.0	3110.0
35381.0	15350.0	29.0	2636.0
36039.0	15024.0	27.0	2576.0
35761.0	15020.0	27.0	2533.0
36127.0	14927.0	26.0	2535.0
35971.0	14599.0	28.0	2535.0
36991.0	15103.0	29.0	2525.0
37252.0	14841.0	28.0	2610.0
39514.0	14897.0	28.0	2619.0
39228.0	15054.0	28.0	2531.0
39096.0	14933.0	30.0	2481.0
40540.0	15928.0	26.0	2596.0
40322.0	15333.0	26.0	2592.0
40604.0	15860.0	24.0	2569.0
48373.0	19845.0	25.0	2579.0
50702.0	19920.0	29.0	2686.0
51337.0	20130.0	30.0	2711.0
49955.0	19580.0	28.0	2582.0
49517.0	19545.0	30.0	2586.0
49542.0	19574.0	33.0	2583.0
42668.0	15053.0	33.0	2562.0
41359.0	15098.0	32.0	2491.0
41013.0	14668.0	30.0	2455.0
41438.0	14520.0	32.0	2480.0
41985.0	15087.0	29.0	2478.0
42433.0	14573.0	26.0	2507.0
39505.0	15344.0	26.0	2565.0
39038.0	14982.0	28.0	2593.0
39682.0	15336.0	26.0	2662.0
40441.0	15599.0	25.0	2679.0
40183.0	15420.0	29.0	2713.0
41629.0	15581.0	28.0	2726.0
41117.0	15431.0	29.0	2727.0
41175.0	15606.0	30.0	2715.0
41061.0	15745.0	33.0	2718.0
40655.0	15741.0	34.0	2736.0
40975.0	15356.0	33.0	2739.0
39222.0	15963.0	37.0	2721.0
38957.0	15407.0	38.0	2743.0
38984.0	15501.0	35.0	2786.0
38758.0	15390.0	33.0	2735.0
38480.0	15124.0	31.0	2765.0
38781.0	15409.0	28.0	2749.0
38277.0	14757.0	24.0	2696.0
41478.0	15273.0	22.0	2606.0
41082.0	14989.0	23.0	2599.0
41722.0	15758.0	26.0	2625.0
41748.0	15561.0	27.0	2669.0
41477.0	15618.0	28.0	2677.0
42692.0	16041.0	28.0	2749.0
49238.0	19540.0	27.0	2715.0
51636.0	19358.0	28.0	6166.0
52147.0	19149.0	29.0	6413.0
52003.0	18830.0	31.0	6984.0
52183.0	19327.0	31.0	7011.0
51957.0	18939.0	32.0	6963.0
45998.0	14732.0	32.0	6710.0
44457.0	14908.0	33.0	6118.0
44021.0	14727.0	30.0	5750.0
43485.0	15081.0	29.0	5144.0
43454.0	14894.0	29.0	5065.0
43818.0	15035.0	26.0	5077.0
40742.0	15500.0	26.0	5113.0
40189.0	15097.0	27.0	5281.0
40755.0	15498.0	28.0	5372.0
41960.0	15397.0	27.0	5573.0
42822.0	15499.0	27.0	6058.0
43751.0	15991.0	28.0	6293.0
43124.0	15326.0	27.0	6350.0
42911.0	15813.0	25.0	6012.0
41962.0	15588.0	24.0	5685.0
40114.0	15124.0	26.0	5319.0
39302.0	15484.0	28.0	4760.0
38974.0	15165.0	26.0	4253.0
38559.0	15341.0	25.0	4190.0
39334.0	15344.0	25.0	4779.0
39338.0	14965.0	31.0	5275.0
39938.0	15314.0	31.0	5249.0
39742.0	15041.0	32.0	5029.0
39716.0	15160.0	32.0	5225.0
42257.0	14966.0	33.0	5134.0
41480.0	14648.0	35.0	4525.0
46128.0	15728.0	33.0	4437.0
46046.0	15245.0	30.0	4452.0
45841.0	15395.0	29.0	4623.0
45700.0	15330.0	28.0	4757.0
52446.0	19287.0	29.0	4611.0
54620.0	20158.0	28.0	4567.0
49492.0	19036.0	25.0	4258.0
49442.0	19190.0	27.0	4511.0
49826.0	19227.0	29.0	4636.0
49264.0	18999.0	29.0	4266.0
43665.0	15174.0	31.0	4229.0
42129.0	14385.0	34.0	4429.0
42910.0	14824.0	35.0	4577.0
43288.0	14889.0	32.0	4492.0
44046.0	14683.0	33.0	4015.0
44266.0	15124.0	32.0	3816.0
42115.0	15053.0	30.0	3873.0
42556.0	15350.0	27.0	4038.0
43013.0	15899.0	27.0	3643.0
42497.0	15627.0	32.0	3466.0
41940.0	15776.0	29.0	3498.0
41905.0	15767.0	31.0	3459.0
41450.0	15830.0	31.0	3603.0
41912.0	15976.0	31.0	3539.0
41564.0	15735.0	32.0	3731.0
42386.0	16318.0	33.0	3901.0
41971.0	15969.0	34.0	3875.0
42337.0	15912.0	34.0	3856.0
41457.0	16083.0	32.0	3569.0
41281.0	15466.0	32.0	3170.0
43457.0	15237.0	33.0	2919.0
46504.0	15120.0	31.0	2854.0
49440.0	15031.0	30.0	3072.0
53019.0	15257.0	32.0	3797.0
59694.0	15186.0	36.0	4341.0
62357.0	15420.0	35.0	4973.0
63149.0	15769.0	34.0	5095.0
62822.0	15573.0	31.0	4964.0
63256.0	16068.0	33.0	4698.0
61245.0	15316.0	31.0	4019.0
66678.0	19771.0	33.0	3570.0
67562.0	19909.0	38.0	3221.0
68352.0	19189.0	40.0	3301.0
68730.0	19655.0	42.0	3515.0
69967.0	19242.0	40.0	4386.0
69183.0	19782.0	40.0	4626.0
61203.0	15432.0	36.0	5007.0
57599.0	15104.0	33.0	5081.0
54554.0	15722.0	31.0	5397.0
51803.0	15460.0	35.0	5660.0
47695.0	15857.0	36.0	5062.0
47550.0	15471.0	37.0	5072.0
44892.0	15841.0	37.0	4845.0
44069.0	16036.0	37.0	4772.0
43378.0	15639.0	38.0	4709.0
42887.0	16208.0	35.0	4440.0
42937.0	16034.0	34.0	4541.0
43149.0	16879.0	31.0	4875.0
42793.0	16383.0	28.0	5381.0
41968.0	16409.0	28.0	5362.0
42689.0	16946.0	27.0	5586.0
43286.0	16319.0	27.0	5470.0
44706.0	16413.0	25.0	5183.0
45899.0	15865.0	27.0	4654.0
48097.0	15934.0	29.0	4093.0
51826.0	15796.0	28.0	3923.0
54931.0	15800.0	30.0	3524.0
57772.0	15656.0	30.0	3505.0
59813.0	15252.0	30.0	4020.0
62553.0	15779.0	30.0	4469.0
65998.0	15305.0	29.0	4509.0
67239.0	15832.0	30.0	4764.0
66978.0	15879.0	29.0	4779.0
64617.0	16168.0	29.0	5004.0
61819.0	16829.0	28.0	4551.0
56618.0	16317.0	26.0	4119.0
57933.0	20515.0	27.0	3740.0
53390.0	20217.0	27.0	3117.0
48811.0	19865.0	28.0	2550.0
45782.0	19105.0	27.0	1898.0
43737.0	18970.0	30.0	1506.0
43262.0	18650.0	31.0	1142.0
36936.0	14371.0	31.0	1055.0
37141.0	14435.0	29.0	1056.0
37357.0	14066.0	29.0	1128.0
37669.0	14347.0	28.0	1186.0
38109.0	13829.0	27.0	1222.0
40157.0	14294.0	27.0	1376.0
39909.0	14459.0	31.0	1603.0
40154.0	14475.0	34.0	1906.0
41287.0	14651.0	34.0	2265.0
44549.0	14855.0	36.0	2728.0
46354.0	15554.0	34.0	3382.0
45101.0	15039.0	33.0	3566.0
44366.0	15231.0	29.0	4193.0
44021.0	15151.0	28.0	4283.0
43819.0	15222.0	28.0	4559.0
41981.0	15350.0	30.0	4423.0
41024.0	14998.0	31.0	4041.0
40891.0	15327.0	30.0	4423.0
40484.0	15291.0	30.0	3853.0
43072.0	15387.0	33.0	3887.0
44978.0	15111.0	34.0	3801.0
47131.0	15289.0	30.0	3733.0
48813.0	15076.0	29.0	3729.0
50880.0	14788.0	31.0	3336.0
55991.0	15211.0	30.0	3396.0
56592.0	14700.0	29.0	3903.0
57180.0	15491.0	30.0	3868.0
57265.0	15135.0	31.0	3923.0
58237.0	15091.0	30.0	4265.0
59580.0	15336.0	27.0	4453.0
66414.0	18642.0	28.0	4601.0
76144.0	22845.0	25.0	3008.0
59890.0	22318.0	28.0	3007.0
60481.0	22435.0	31.0	3747.0
60744.0	22607.0	32.0	3809.0
60337.0	22446.0	30.0	3652.0
54248.0	18135.0	32.0	3173.0
53661.0	18269.0	31.0	3185.0
52804.0	17945.0	26.0	3194.0
52048.0	18072.0	32.0	2552.0
52134.0	17425.0	31.0	2963.0
