window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
27/07/18 03:10	27/07/18 03:20	0.7861906990138379	12067	3264	374290
27/07/18 03:20	27/07/18 03:30	0.6761224119160868	12823	2371	383360
27/07/18 03:30	27/07/18 03:40	0.7629056456210347	14033	3393	517698
27/07/18 03:40	27/07/18 03:50	1.1084715751081269	20577	7792	547768
27/07/18 03:50	27/07/18 04:00	1.3033838625375596	14644	5050	350850
27/07/18 04:00	27/07/18 04:10	6.54574868562354	13223	14716	480861
27/07/18 04:10	27/07/18 04:20	0.794849728253927	14083	3521	529764
27/07/18 04:20	27/07/18 04:30	0.6399448496954256	14118	2465	496971
27/07/18 04:30	27/07/18 04:40	0.8498961843623786	13864	3259	369477
27/07/18 04:40	27/07/18 04:50	2.9567436772848423	14629	19612	600880
27/07/18 04:50	27/07/18 05:00	0.9011839415242139	14040	2942	504538
27/07/18 05:00	27/07/18 05:10	1.142251036206802	17621	4439	532346
27/07/18 05:10	27/07/18 05:20	0.9349233254732183	21713	4443	361985
27/07/18 05:20	27/07/18 05:30	0.8266622595818792	14350	3018	378255
27/07/18 05:30	27/07/18 05:40	1.3219391335517712	15260	8203	551681
27/07/18 05:40	27/07/18 05:50	0.9400465735495951	16030	5599	519634
27/07/18 05:50	27/07/18 06:00	0.9279338429551056	13563	3473	366177
27/07/18 06:00	27/07/18 06:10	0.8565614674052303	13269	3625	362716
27/07/18 06:10	27/07/18 06:20	0.9135939890012565	13547	2941	410300
27/07/18 06:20	27/07/18 06:30	0.7829264870275359	13837	3002	516561
27/07/18 06:30	27/07/18 06:40	0.738345888835554	14582	2775	454826
27/07/18 06:40	27/07/18 06:50	0.6722169643210354	13145	3967	363870
27/07/18 06:50	27/07/18 07:00	0.7535139960720887	12984	2961	409325
27/07/18 07:00	27/07/18 07:10	1.0693760483690264	15175	3548	474676
27/07/18 07:10	27/07/18 07:20	0.8015537712814093	14367	2622	495810
27/07/18 07:20	27/07/18 07:30	1.0347003833359851	12566	2448	394931
27/07/18 07:30	27/07/18 07:40	2.1798250089351114	13654	10208	487308
27/07/18 07:40	27/07/18 07:50	0.682774663562546	17611	4974	503522
27/07/18 07:50	27/07/18 08:00	1.1288490230408423	14496	5140	530690
27/07/18 08:00	27/07/18 08:10	0.8190107595320326	14189	3564	397383
27/07/18 08:10	27/07/18 08:20	0.7653197121704317	13237	2774	349158
27/07/18 08:20	27/07/18 08:30	0.7470437451624655	13695	2864	496616
27/07/18 08:30	27/07/18 08:40	0.9369841700235755	14845	3482	515769
27/07/18 08:40	27/07/18 08:50	1.3252146938871099	29904	8986	367000
27/07/18 08:50	27/07/18 09:00	2.657599573991047	17171	3554	356096
27/07/18 09:00	27/07/18 09:10	1.0385575226050308	13758	2944	408413
27/07/18 09:10	27/07/18 09:20	0.9370257391835574	13914	2925	482433
27/07/18 09:20	27/07/18 09:30	1.075220608251724	14397	3121	491724
27/07/18 09:30	27/07/18 09:40	0.9149098213718547	13223	3147	367888
27/07/18 09:40	27/07/18 09:50	2.211361350975749	17269	7192	359302
27/07/18 09:50	27/07/18 10:00	1.2134559611428604	14875	3881	540796
27/07/18 10:00	27/07/18 10:10	0.6621102296800538	14690	3686	511848
27/07/18 10:10	27/07/18 10:20	1.2034531719121346	13885	4186	373000
27/07/18 10:20	27/07/18 10:30	1.2091279632419427	13276	2587	366951
27/07/18 10:30	27/07/18 10:40	0.9588970386763499	14324	3888	514111
